"","ind1","ind2","weight","transformed_weight"
"381","221119","486210",0.1666667,1.791759
"382","221119","488510",0.0238095,3.73767
"383","221119","513310",0.0238095,3.73767
"384","221119","517110",0.0238095,3.73767
"385","221119","517310",0.0238095,3.73767
"386","221119","524114",0.0238095,3.73767
"387","221119","531390",0.0238095,3.73767
"388","221119","541620",0.0238095,3.73767
"389","221119","541990",0.0238095,3.73767
"390","221119","561612",0.0238095,3.73767
"391","221119","562119",0.0238095,3.73767
"392","221119","562211",0.0238095,3.73767
"393","221119","562920",0.0238095,3.73767
"394","211111","221121",0.3333333,1.098612
"395","221121","221210",0.3333333,1.098612
